Start time in hr:min:sec,End time in hr:min:sec,Annotation,Layer,Index
0:00:02,0:00:13,"[Tape starts]

Joyce Lierberman: …out of the pathway. I don’t know if you can hear anything if it's that loud [inaudible]

Gloria Anzaldúa: Well if not, I’ll just erase it.","As soon as the recording starts, a crowd of people can be heard in the background. Through the din, bits and pieces of what sound like palm and/or tarot readings are heard. It is at first difficult to hear Anzaldúa and Lieberman through the crowd.",Media Awareness
0:00:13,0:00:46,"JL: Are your hands always this terribly hot?

GA: Um, no I think–I had a hysterectomy, so I get hot flashes once in a while. And I think I’m having one right now. I’m not sure though. But usually they are warm.

""Lieberman asks Anzaldúa about past injuries to two of her fingers. Anzaldúa responds that they may have been sprained but never broken.

JL: Has anything happened with these two fingers?

GA: No they’ve never been broken.

JL: They have always been like this.

GA: Yes. This one I think I hurt or sprained. But both of those [inaudible]""","It is interesting how we come to learn about Anzaldua's health and body through the palm readings. The attention to hands by the palm reader show that palmistry deals with not only the lines of the hand, but the shape and movement of the hands as well. This comes up in the Tamara Diaghilev reading as well, I believe. How do the other modalities address body and health?",Health and Body
0:00:46,0:00:59,[long pause] [conversations in background],Environmental noise,INDEX
0:00:59,0:01:23,"JL: When did you have your hysterectomy, Gloria?

GA: March 20th of last year.

JL: March 20th of last year.

GA: Over six months ago.

JL: And that changed the temperature of your body did it?

GA: I get...Have hormone imbalance so that. I get hot flashes and I’m taking some herbs for it, but its been hard lately. [inaudible]",Health and wellness files,Health and Body
0:01:23,0:01:52,[long pause] [conversations in background] [Anzaldua adjusts her chair],Environmental noise,INDEX
0:01:53,0:02:09,"JL: Are you left handed or right handed?

GA: I’m right handed, but when I was little I was switched over to right.

JL: But you were originally left?

GA: I think originally I was probably ambidextrous, but I remember writing with my left hand and my teacher telling me to write with my right hand.",Anzaldua recalls her childhood ambidexterity. This becomes the subject of a much longer exchange in the recording of Chela Sandoval reading Anzaldua's palms. Does this happen in the Diaghilev reading? [link to recording],Ambidexterity
0:02:09,0:02:47,[long pause],Environmental noise,INDEX
0:02:47,0:03:15,"JL: Before your hysterectomy, had you had any other hormonal difficulties whatsoever like thyroid deficiency or because I’m picking that up.

GA: From the time I was 3 months old I was [bleeding?] on my diaper.

JL: Yeah, so there’s always been a hormonal imbalance of some kind.

GA: It’s only now that I’m getting it balanced out.","[see Health and Diet Information, and Psychology/Metaphysics/Health] ","Health and Body
Chronic Illness"
0:03:15,0:03:39,[long pause],Environmental noise,INDEX
0:03:39,0:04:47,"JL: You have such a need to guard your good name and your reputation.

GA: I have that need?

JL: Yes ma'am. No matter what it seems like. You are a very proud person.

GA: Very. That’s why I’m afraid I’m gonna fall. Pride comes before a fall.

JL: You’re very proud and you’re very easily hurt and you don’t like people to know it. And in addition to which, you have a great need to go your own way. At the same time that you have a great need to go your own way, you’ve felt so bound by so many things that it has made you very angry. [long pause] How old are you Gloria?""","September 26, 1942 in Raymondville, Texas [link to natal chart]",Character
0:04:47,0:05:36,"GA: um, let’s see… 37? I have to count backward.

JL: Life is becoming more and more open for you. It’s going to open much more ready to you in the next 10 years, but it’s already begun. It began in about three, four years ago. Things started happening.

GA: That’s correct.

JL: [inaudible]

GA: How can you tell it was three years ago? Which lines? Any particular ones?

JL: Well, I can’t find the time to give you a lesson and a reading right now. You know, but if you leave your address when I give lessons if I decide to [inaudible]

GA: I would like that, yes.","Lieberman does not answer Anzaldua's question about technique, however in the two other palmistry recordings, Sandoval and Diaghilev instruct Anzaldua at length when she asks how to identify and read aspects of the palm.

[check correspondence]",INDEX
0:05:36,0:07:20,"JL: You know, cause, uh...[long pause] Now you have, you know, you have quite a bit of fire in you, and some earth, and some water is mixed. What is your sign?

GA: Uh, Libra, but I have a lot of earth though

JL: Oh, yeah, right, cause in no way is this an air hand, in the world.

GA: In no way its what? Air?

JL: It's not an air hand. And a libra is air, but you have… what’s your ascendant?

GA: My ascendant is sagittarius.

JL: There’s the fire.

GA: And my moon is Aries.

JL: More fire. See now that’s actually a fire hand. Essentially its a fire hand with some–You have a paramount water placement somewhere, I don’t know where it is. But its essentially fire. See one hand is more fire, the other hand is more earth. No, that’s not true. There’s essentially a fire hand.

GA: I have quite a bit of earth in my chart, so...

JL: Yeah. See it’s very interesting. [inaudible] It would be very interesting to know when that switch over with the hands came. Because there’s an extraordinary amount of difference in your hands. Even given the proportion of differences in all hands.

GA: I think it must have come like around when I was seven?","Lieberman incorporates astrology into the reading. Is this typical of any particular palmistry heritage? Is it a ""new-age"" integration? What other modalities appear throughout the recordings?",Astrology
